License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2004,412,SUM,352,2187,6,84,34,37,13,18,66,2,4,29
2004,413,N,158,782,5,31,26,5,0,0,31,3,16,7
2004,413,R,931,4526,5,80,40,33,8,13,67,9,14,17
2004,413,SUM,1089,5308,5,110,65,37,8,13,97,12,30,23
2004,415,N,13,63,5,0,0,0,0,0,0,0,0,0
2004,415,R,148,846,6,16,8,7,0,0,16,0,6,3
2004,415,SUM,161,909,6,16,8,7,0,0,16,0,6,3
2004,416,N,240,1186,5,46,40,2,4,3,43,7,21,13
2004,416,R,1161,5996,5,144,79,64,1,10,133,11,38,30
2004,416,SUM,1400,7182,5,189,119,65,5,14,176,17,59,43
2004,417,N,69,455,7,21,16,2,2,12,9,0,3,13
2004,417,R,659,3530,5,204,71,126,7,22,182,4,13,53
2004,417,SUM,728,3984,6,225,87,128,8,34,191,4,17,66
2004,418,N,57,310,5,15,7,6,2,3,12,0,7,0
2004,418,R,480,2207,5,39,17,22,0,4,35,8,4,5
2004,418,SUM,537,2518,5,53,23,28,2,7,47,8,11,5
2004,419,N,0,0,0,0,0,0,0,0,0,0,0,0
2004,419,R,79,348,4,2,0,2,0,0,2,0,0,0
2004,419,SUM,79,348,4,2,0,2,0,0,2,0,0,0
2004,420,N,20,93,5,1,1,0,0,0,1,0,1,0
2004,420,R,161,861,5,15,8,7,0,1,14,0,8,0
2004,420,SUM,181,954,5,16,9,7,0,1,15,0,9,0
2004,421,N,13,82,6,7,3,3,0,0,7,0,0,3
2004,421,R,339,1470,4,117,36,76,6,3,115,9,13,14
2004,421,SUM,352,1552,4,124,39,79,6,3,121,9,13,17
2004,422,N,187,1206,6,32,29,0,3,7,26,3,19,7
2004,422,R,450,2290,5,55,35,19,1,8,48,15,14,6
2004,422,SUM,637,3496,6,88,64,19,5,14,74,18,34,13
2004,423,N,61,285,5,10,0,7,3,0,10,0,0,0
